Word,Meaning,HitCount
attractive,vonzó,0
angry,mérges,0
anxious,aggódó,0
beautiful,gyönyörű,0
bored,unott,0
confused,összezavarodott,0
creamy,krémes,0
delicious,finom,0
fresh,friss,0
funny,vicces,0,
handsome,jóképű,0
happy,boldog,0
hungry,éhes,0
ill,beteg,0
interesting,érdekes,0
pretty,csinos,0
sad,szomorú,0
sexy,szexi,0
shy,félénk,0
sleepy,álmos,0
sour,savanyú,0
spicy,fűszeres,0
suprised,meglepődött,0
thirsty,szomjas,0
tired,fáradt,0
worried,aggódó,0
nervous,ideges,0
polite,udvarias,0
similar,hasonló,0
fast,gyors,0
